Geneid	Chr	Start	End	Strand	Length	hyb1/add_read_group/hyb1.sorted.bam	tar2/add_read_group/tar2.sorted.bam	inf1/add_read_group/inf1.sorted.bam	inf2/add_read_group/inf2.sorted.bam	tar3/add_read_group/tar3.sorted.bam	tar1/add_read_group/tar1.sorted.bam	hyb3/add_read_group/hyb3.sorted.bam	hyb2/add_read_group/hyb2.sorted.bam	inf3/add_read_group/inf3.sorted.bam
gene-LINF_180016300	LR812951.1	451882	453777	+	1896	1208	361	5427	1661	602	1272	163	711	1554
gene-LINF_180016400	LR812951.1	456008	456703	+	696	1016	91	3056	1102	270	320	104	521	852
gene-LINF_180016500	LR812951.1	457485	460028	+	2544	928	195	2592	586	332	540	97	357	697
gene-LINF_180016600	LR812951.1	461122	462192	+	1071	625	479	1578	546	329	1163	90	356	491
gene-LINF_180016700	LR812951.1	463764	464474	+	711	671	251	1849	632	424	631	85	375	498
gene-LINF_180016800	LR812951.1	467260	467823	+	564	93	0	291	102	0	0	8	55	112
gene-LINF_180016900	LR812951.1	470942	473785	+	2844	720	299	2285	649	635	778	98	375	831
gene-LINF_180017000	LR812951.1	474502	475602	+	1101	768	205	2194	695	386	456	98	452	594
gene-LINF_180017100	LR812951.1	483131	483460	+	330	557	145	1592	385	217	388	80	348	708
gene-LINF_180017200	LR812951.1	486341	486949	+	609	1047	290	2396	870	418	925	125	520	748
gene-LINF_180017300	LR812951.1	488508	493136	+	4629	788	54	4246	1103	134	205	130	480	1792
gene-LINF_180017400	LR812951.1	494106	497897	+	3792	974	156	4043	1469	353	349	174	658	1495
gene-LINF_180017500	LR812951.1	498496	499308	+	813	320	44	1191	432	71	128	41	236	381
gene-LINF_180017600	LR812951.1	500795	502966	+	2172	3965	1552	4705	1495	2792	4630	529	2093	2248
gene-LINF_180017700	LR812951.1	505230	507398	+	2169	3263	1256	5253	1678	2290	3588	461	1959	2529
gene-LINF_180017800	LR812951.1	508632	510494	+	1863	538	60	1909	595	96	182	53	331	671
gene-LINF_180017900	LR812951.1	512318	514621	+	2304	798	98	3101	1206	169	350	69	413	1059
gene-LINF_180018000	LR812951.1	516755	519148	+	2394	1143	18	3308	1231	59	67	120	785	1031
gene-LINF_180018100	LR812951.1	520633	521595	+	963	638	111	1741	664	230	233	86	418	482
gene-LINF_180018200	LR812951.1	523635	524585	+	951	595	134	1517	575	246	292	97	441	519
gene-LINF_180018300	LR812951.1	526625	527551	+	927	602	106	2401	773	276	240	88	388	668
gene-LINF_180018400	LR812951.1	531256	533376	+	2121	1409	288	5273	2018	427	723	215	931	1874
gene-LINF_180018500	LR812951.1	534317	538723	+	4407	1602	305	4916	1929	379	907	149	1013	1524
gene-LINF_180018600	LR812951.1	542517	544286	+	1770	1083	314	4879	1377	719	655	191	789	1393
gene-LINF_180018700	LR812951.1	549593	551896	+	2304	636	30	1670	556	48	81	99	471	438
gene-LINF_180018900	LR812951.1	562134	564014	+	1881	145	14	376	143	17	21	25	91	58
gene-LINF_180019000	LR812951.1	579546	582431	+	2886	1618	235	5278	1629	461	919	257	912	1935
gene-LINF_180019100	LR812951.1	583751	586219	+	2469	5569	2538	10935	3592	4233	6555	833	3253	4203
gene-LINF_180019200	LR812951.1	589025	590161	+	1137	6095	2222	13667	4321	4261	5380	1009	3460	5498
gene-LINF_180019300	LR812951.1	592830	593606	+	777	1071	253	3156	1277	297	631	153	576	977
gene-LINF_180019400	LR812951.1	594207	594713	+	507	11098	10507	28734	12806	9287	12760	2390	7339	12735
gene-LINF_180019500	LR812951.1	595908	598778	+	2871	828	65	2834	938	99	201	125	567	972
gene-LINF_180019600	LR812951.1	600952	603639	+	2688	652	59	1539	497	136	169	93	409	535
gene-LINF_180019700	LR812951.1	607114	607677	+	564	68	0	184	82	0	0	8	34	71
gene-LINF_180019800	LR812951.1	614710	618075	+	3366	1165	46	4640	1551	47	203	173	624	1453
gene-LINF_180019900	LR812951.1	620145	620846	+	702	1292	156	3378	1216	211	450	190	641	916
gene-LINF_180020000	LR812951.1	626910	633053	+	6144	1617	222	3703	1180	428	659	216	833	1044
gene-LINF_180020100	LR812951.1	638561	641293	+	2733	1555	274	4219	1450	413	894	170	751	1330
gene-LINF_180020200	LR812951.1	642096	643145	+	1050	768	174	3871	1351	277	396	102	433	841
gene-LINF_180020300	LR812951.1	644719	645633	+	915	998	282	2262	672	393	952	101	449	549
gene-LINF_180020400	LR812951.1	647881	648435	+	555	513	5	1454	406	2	13	71	197	562
gene-LINF_180020500	LR812951.1	649755	652901	+	3147	1142	251	3693	1094	520	700	191	544	1453
gene-LINF_180020600	LR812951.1	654486	657410	+	2925	7817	1762	12718	3585	3920	4717	1155	4185	6312
gene-LINF_180020700	LR812951.1	659518	662442	+	2925	7603	1749	12723	3638	3962	4732	1181	4201	6257
gene-LINF_180020800	LR812951.1	664551	667475	+	2925	7347	1806	11710	3418	3922	4778	1179	4093	5852
gene-LINF_180020900	LR812951.1	671737	675462	+	3726	1268	173	5290	1714	285	523	195	714	1608
gene-LINF_180021000	LR812951.1	676209	677300	+	1092	633	4	2864	1128	12	33	87	426	986
gene-LINF_180021100	LR812951.1	677891	679150	+	1260	416	34	2342	1062	28	50	65	301	714
gene-LINF_180021200	LR812951.1	679824	681515	+	1692	1072	182	3505	1423	272	668	158	555	945
gene-LINF_180021300	LR812951.1	683456	683920	+	465	466	95	1382	515	172	446	56	256	356
gene-LINF_180021400	LR812951.1	686260	687204	+	945	2663	220	12806	5143	235	366	398	1488	5986
gene-LINF_180021500	LR812951.1	689663	690304	+	642	861	77	1675	498	134	252	77	410	424
gene-LINF_180021600	LR812951.1	692215	694605	+	2391	676	145	2836	1047	305	387	111	420	1004
gene-LINF_180021700	LR812951.1	695241	697205	+	1965	1645	559	3467	912	1099	1566	231	784	1424
gene-LINF_180021800	LR812951.1	699031	699462	+	432	435	8	1175	425	18	20	57	267	486
gene-LINF_180021900	LR812951.1	700454	701131	+	678	546	3	2329	1026	3	5	79	312	881
gene-LINF_180022000	LR812951.1	703438	704205	+	768	765	164	3421	1186	205	367	98	428	1095
gene-LINF_180022100	LR812951.1	705037	705393	+	357	629	0	4913	2157	0	2	53	360	1530
gene-LINF_180022200	LR812951.1	706601	708343	+	1743	746	51	3040	1077	63	213	86	401	1104
gene-LINF_180022300	LR812951.1	709549	711612	+	2064	2249	283	5912	2062	570	1112	258	1478	1285
gene-LINF_180022400	LR812951.1	713851	714186	+	336	424	0	2781	1090	0	0	70	340	442
gene-LINF_180022500	LR812951.1	716561	718555	+	1995	398	0	2037	816	0	0	55	232	450
gene-LINF_190005000	LR812952.1	1185	2153	-	969	671	19	3247	1160	25	50	71	423	963
gene-LINF_190005100	LR812952.1	3348	4466	-	1119	3499	1516	8739	3592	2075	3912	486	2262	3552
gene-LINF_190005200	LR812952.1	5171	5494	-	324	35905	13543	23065	10637	22704	38367	5442	22997	8604
gene-LINF_190005300	LR812952.1	6030	6353	-	324	35825	13472	20801	9492	22781	38181	5585	22879	8378
gene-LINF_190005400	LR812952.1	6933	7730	-	798	15328	16423	40012	16635	13662	19807	3649	9801	22642
gene-LINF_190005500	LR812952.1	9403	10686	-	1284	699	40	3039	901	66	152	78	383	872
gene-LINF_190005600	LR812952.1	11687	12985	-	1299	3869	957	16379	6042	960	2986	384	1876	3475
gene-LINF_190005700	LR812952.1	13826	15037	-	1212	1843	418	5332	1782	664	1016	280	1048	2177
gene-LINF_190005800	LR812952.1	16847	17731	-	885	4909	2385	7315	2097	5757	6050	885	3159	3593
gene-LINF_190005900	LR812952.1	19106	20293	-	1188	1419	131	5026	1722	208	455	154	829	1567
gene-LINF_190006000	LR812952.1	21003	21692	-	690	466	90	1004	361	105	205	57	242	325
gene-LINF_190006100	LR812952.1	22702	23463	-	762	662	344	1981	625	358	774	99	439	591
gene-LINF_190006200	LR812952.1	24606	26501	-	1896	1314	509	2653	999	947	1598	155	836	1091
gene-LINF_190006300	LR812952.1	28810	29652	-	843	1582	833	1320	451	1692	2086	172	916	459
gene-LINF_190006400	LR812952.1	31944	33086	-	1143	5841	2353	11102	2782	5486	5903	1073	3415	6068
gene-LINF_190006500	LR812952.1	34615	39090	-	4476	1833	184	7678	1855	300	724	205	973	2940
gene-LINF_190006600	LR812952.1	43866	45089	-	1224	549	261	932	262	490	1003	61	269	280
gene-LINF_190006700	LR812952.1	46672	47163	-	492	1736	545	5490	1733	497	1543	229	844	1879
gene-LINF_190006800	LR812952.1	50078	51031	-	954	10836	5594	10290	3141	10756	9949	1905	6537	6537
gene-LINF_190006900	LR812952.1	55617	56570	-	954	10999	5614	9651	3124	10823	9747	1941	6645	6612
gene-LINF_190007000	LR812952.1	57979	60207	-	2229	889	321	2684	768	684	843	150	436	822
gene-LINF_190007100	LR812952.1	67771	69732	+	1962	2206	350	5588	1874	882	1214	242	895	1192
gene-LINF_190007200	LR812952.1	71404	73422	+	2019	1761	526	3309	820	1235	1864	226	735	924
gene-LINF_190007300	LR812952.1	75122	77749	+	2628	496	175	1391	340	355	545	64	239	423
gene-LINF_190007400	LR812952.1	80216	82741	+	2526	3495	1510	8759	2704	2354	4624	500	1876	2371
gene-LINF_190007500	LR812952.1	90416	93298	+	2883	885	146	2086	547	149	387	112	534	652
gene-LINF_190007600	LR812952.1	96693	98588	+	1896	817	139	3044	1052	280	427	127	510	956
gene-LINF_190007700	LR812952.1	100476	104573	+	4098	509	77	1568	608	143	251	48	267	468
gene-LINF_190007800	LR812952.1	106065	107006	+	942	980	506	1808	426	947	1389	152	606	769
gene-LINF_190007900	LR812952.1	111511	112689	+	1179	1652	963	3407	942	1266	2284	228	1022	1098
gene-LINF_190008000	LR812952.1	115646	116404	+	759	765	143	2296	832	204	382	85	424	921
gene-LINF_190008100	LR812952.1	118927	120951	+	2025	2407	1021	4173	1636	1381	2838	262	1406	1402
gene-LINF_190008200	LR812952.1	123056	124840	+	1785	1551	643	3992	1428	832	2078	150	876	1350
gene-LINF_190008300	LR812952.1	126254	127630	+	1377	739	99	3541	1646	169	322	102	439	931
gene-LINF_190008400	LR812952.1	129854	131092	+	1239	1025	513	2372	959	746	1355	123	615	781
gene-LINF_190008500	LR812952.1	133940	139516	+	5577	2298	107	4898	1926	134	211	302	1753	1705
gene-LINF_190008600	LR812952.1	145615	149073	+	3459	326	25	880	337	50	94	48	197	248
gene-LINF_190008700	LR812952.1	153084	159140	+	6057	1791	260	4997	1807	458	762	215	1040	1602
gene-LINF_190008800	LR812952.1	160051	160506	+	456	8302	10556	15198	7280	10556	13938	1941	5792	9602
gene-LINF_190008900	LR812952.1	162178	163020	+	843	1262	183	3988	1661	207	641	184	723	1243
gene-LINF_190009000	LR812952.1	164257	164631	+	375	873	324	2177	839	365	901	141	591	848
gene-LINF_190009100	LR812952.1	166051	166506	+	456	579	65	1814	755	143	285	95	352	565
gene-LINF_190009200	LR812952.1	167193	171002	+	3810	847	153	2364	1016	234	313	126	632	841
gene-LINF_190009300	LR812952.1	171752	172804	+	1053	2304	668	7197	1998	1498	1613	422	1322	4198
gene-LINF_190009400	LR812952.1	174450	177299	+	2850	732	50	3007	989	86	150	128	474	1003
gene-LINF_190009500	LR812952.1	179044	179931	+	888	245	4	913	458	9	8	26	177	313
gene-LINF_190009600	LR812952.1	180587	181666	+	1080	573	57	1964	895	133	248	98	316	788
gene-LINF_190009700	LR812952.1	182940	183710	+	771	145	27	458	148	38	73	15	109	170
gene-LINF_190009800	LR812952.1	187943	188581	+	639	670	169	2398	952	228	520	101	369	950
gene-LINF_190009900	LR812952.1	189735	190634	+	900	901	239	2302	1035	252	532	118	593	628
gene-LINF_190010000	LR812952.1	191940	196757	+	4818	1707	79	7134	2611	163	223	226	1020	2168
gene-LINF_190010100	LR812952.1	197229	198938	+	1710	1204	114	7974	3423	83	273	140	708	2378
gene-LINF_190010200	LR812952.1	201957	204185	+	2229	385	93	1582	515	202	202	50	271	498
gene-LINF_190010300	LR812952.1	208121	209326	+	1206	1767	339	4721	1197	645	1213	253	939	1896
gene-LINF_190010400	LR812952.1	212341	216495	+	4155	1551	120	7027	2645	199	397	226	827	2193
gene-LINF_190010500	LR812952.1	218392	219948	+	1557	835	48	3036	1114	64	110	102	435	892
gene-LINF_190010600	LR812952.1	226095	227684	+	1590	782	72	1932	931	70	139	63	417	663
gene-LINF_190010700	LR812952.1	232912	242178	+	9267	2125	101	8226	2613	216	339	322	1120	2802
gene-LINF_190010800	LR812952.1	248411	251986	+	3576	1060	48	2795	933	57	105	100	538	803
gene-LINF_190010900	LR812952.1	260265	262598	+	2334	170	4	695	241	5	15	19	90	204
gene-LINF_190011000	LR812952.1	268316	268597	+	282	365	13	1693	608	22	35	71	218	680
gene-LINF_190011100	LR812952.1	270013	272247	+	2235	1143	125	3852	1190	213	548	185	564	1212
gene-LINF_190011200	LR812952.1	272937	273374	+	438	1406	287	4174	1511	391	917	208	864	951
gene-LINF_190011300	LR812952.1	275459	278215	+	2757	1832	593	6402	2227	722	1980	216	1035	1755
gene-LINF_190011400	LR812952.1	279523	285321	+	5799	2214	509	6288	1781	969	1678	395	1247	2569
gene-LINF_190011500	LR812952.1	286378	287706	+	1329	1191	324	2613	733	578	795	148	550	540
gene-LINF_190011600	LR812952.1	288728	289813	+	1086	1373	368	2560	730	659	1124	137	586	834
gene-LINF_190011700	LR812952.1	291754	294936	+	3183	1724	629	2690	930	1108	1741	166	962	715
gene-LINF_190011800	LR812952.1	300870	303974	+	3105	2133	719	4213	1418	1198	2071	272	1208	1109
gene-LINF_190011900	LR812952.1	308007	314693	+	6687	3269	371	8930	2756	806	1234	465	1696	3067
gene-LINF_190012000	LR812952.1	316334	317302	+	969	5486	993	13026	5607	1717	1832	596	2813	3513
gene-LINF_190012100	LR812952.1	319127	320041	+	915	1016	182	4186	1472	309	498	163	617	1309
gene-LINF_190012200	LR812952.1	322009	323166	+	1158	1323	369	2590	777	651	1134	202	704	933
gene-LINF_190012300	LR812952.1	325097	326440	+	1344	767	11	2657	1100	5	11	121	443	898
gene-LINF_190012400	LR812952.1	327308	328882	+	1575	1339	109	5014	1861	194	288	218	722	1555
gene-LINF_190012500	LR812952.1	330753	332228	+	1476	1400	134	5508	2061	247	318	211	790	1775
gene-LINF_190012600	LR812952.1	333175	333882	+	708	708	198	2172	772	277	546	105	349	587
gene-LINF_190012700	LR812952.1	334577	335335	+	759	600	139	2484	904	239	398	95	379	761
gene-LINF_190012800	LR812952.1	336068	338293	+	2226	883	223	3365	1287	320	574	136	539	1172
gene-LINF_190012900	LR812952.1	339144	340982	+	1839	2825	1354	5297	1538	2970	3949	404	1395	1979
gene-LINF_190013000	LR812952.1	343737	346346	+	2610	2220	1041	6377	2341	1622	2344	318	1190	1594
gene-LINF_190013100	LR812952.1	347417	347794	+	378	1169	21	1684	991	56	73	78	595	316
gene-LINF_190013200	LR812952.1	348505	348882	+	378	985	25	1479	806	50	52	70	520	309
gene-LINF_190013300	LR812952.1	349592	349969	+	378	872	16	1407	778	39	36	69	413	295
gene-LINF_190013400	LR812952.1	350679	351056	+	378	1054	11	1471	821	54	67	79	534	305
gene-LINF_190013500	LR812952.1	351766	352143	+	378	820	16	1440	769	48	33	64	373	295
gene-LINF_190013600	LR812952.1	352859	353305	+	447	765	25	1160	599	46	58	81	406	233
gene-LINF_190013700	LR812952.1	353947	354192	+	246	463	14	524	367	31	45	47	236	108
gene-LINF_190013730	LR812952.1	356350	356553	+	204	428	0	1962	805	0	0	61	205	611
gene-LINF_190013760	LR812952.1	357230	357640	+	411	2373	18	3861	1427	37	77	190	1093	656
gene-LINF_190013800	LR812952.1	360034	360411	+	378	951	23	1616	883	41	52	94	513	296
gene-LINF_190013900	LR812952.1	361122	361487	+	366	677	21	970	563	43	62	71	387	250
gene-LINF_190014000	LR812952.1	363616	363993	+	378	952	23	1490	758	40	67	89	494	297
gene-LINF_190014100	LR812952.1	364704	365069	+	366	715	18	1013	544	50	59	49	418	213
gene-LINF_190014200	LR812952.1	367200	367577	+	378	963	25	1535	834	58	71	83	494	298
gene-LINF_190014300	LR812952.1	368288	368653	+	366	690	22	1008	551	61	75	65	393	210
gene-LINF_190014400	LR812952.1	370401	372422	+	2022	1545	105	5534	2014	161	309	190	991	1636
gene-LINF_190014500	LR812952.1	376448	379174	+	2727	861	11	3408	1162	34	51	111	513	1108
gene-LINF_190014600	LR812952.1	379963	381963	+	2001	627	81	2035	668	156	357	96	271	674
gene-LINF_190014700	LR812952.1	382954	385374	+	2421	1370	97	5036	1799	159	340	189	640	1605
gene-LINF_190014800	LR812952.1	386064	386402	+	339	294	131	1168	610	184	280	38	181	378
gene-LINF_190014900	LR812952.1	387316	387921	+	606	1179	158	4252	1411	331	426	208	647	1793
gene-LINF_190015000	LR812952.1	391366	393864	+	2499	1427	555	2194	822	943	1328	168	873	467
gene-LINF_190015100	LR812952.1	398914	400752	+	1839	2393	500	4498	1723	888	1307	259	1211	1006
gene-LINF_190015200	LR812952.1	404094	405797	+	1704	2286	530	4264	1591	943	1217	228	1164	914
gene-LINF_190015300	LR812952.1	410785	412596	+	1812	1552	402	4373	1929	633	851	179	888	626
gene-LINF_190015400	LR812952.1	415550	417985	+	2436	1603	191	4075	1452	295	468	180	896	1195
gene-LINF_190015500	LR812952.1	420290	421867	+	1578	988	231	2121	713	513	670	131	542	819
gene-LINF_190015600	LR812952.1	422917	423804	+	888	969	77	3203	1323	135	220	139	555	943
gene-LINF_190015700	LR812952.1	424669	426570	+	1902	2427	459	6788	1730	1024	1320	347	1270	2399
gene-LINF_190015800	LR812952.1	429171	432881	+	3711	1004	76	4761	1429	137	167	147	556	1587
gene-LINF_190015900	LR812952.1	434252	438022	+	3771	719	72	3182	917	209	174	147	515	1290
gene-LINF_190016000	LR812952.1	442827	445721	+	2895	1406	37	3854	1348	67	141	173	773	1324
gene-LINF_190016100	LR812952.1	447472	458910	+	11439	1887	273	6022	2144	464	727	298	1195	2265
gene-LINF_190016300	LR812952.1	460143	461165	+	1023	223	4	1285	410	4	6	33	117	569
gene-LINF_190016400	LR812952.1	462047	465976	+	3930	1711	30	4816	1890	50	104	216	965	1522
gene-LINF_190016500	LR812952.1	468232	469266	+	1035	737	87	2148	732	123	141	104	444	998
gene-LINF_190016600	LR812952.1	470495	471733	+	1239	2055	969	4434	1498	1307	2470	298	1227	1502
gene-LINF_190016700	LR812952.1	474001	491304	+	17304	3535	497	11562	4038	798	1212	441	1897	3635
gene-LINF_190016800	LR812952.1	493067	495496	+	2430	677	0	2540	883	5	11	91	415	873
gene-LINF_190016900	LR812952.1	497147	505183	+	8037	1822	467	4490	1439	881	1809	247	1058	1321
gene-LINF_190017000	LR812952.1	506897	508012	+	1116	2322	331	11993	4141	600	949	450	1497	4062
gene-LINF_190017100	LR812952.1	510838	513681	+	2844	509	43	1750	581	103	104	62	295	571
gene-LINF_190017200	LR812952.1	515245	520551	+	5307	1743	108	7007	2563	199	389	233	973	2118
gene-LINF_190017300	LR812952.1	521538	521930	+	393	640	234	1309	467	289	546	81	272	358
gene-LINF_190017400	LR812952.1	523535	524713	+	1179	503	53	2368	972	121	80	83	306	819
gene-LINF_190017500	LR812952.1	525724	526353	+	630	1071	545	1545	457	627	1160	123	531	498
gene-LINF_190017600	LR812952.1	527486	528184	+	699	425	36	2112	854	56	79	79	235	751
gene-LINF_190017700	LR812952.1	530450	531481	+	1032	826	281	1962	684	501	720	168	467	611
gene-LINF_190017800	LR812952.1	534067	539439	+	5373	2047	345	4717	1701	710	1035	256	1116	1385
gene-LINF_190017900	LR812952.1	540631	542016	+	1386	944	184	2624	892	355	524	131	547	737
gene-LINF_190018000	LR812952.1	543302	543817	+	516	600	236	694	251	331	735	94	298	241
gene-LINF_190018100	LR812952.1	544417	545100	+	684	1632	634	2513	862	1029	1484	193	800	636
gene-LINF_190018200	LR812952.1	545900	546733	+	834	1653	276	6258	1433	375	981	267	1060	1687
gene-LINF_190018300	LR812952.1	548923	549774	+	852	1361	163	2525	866	345	792	140	754	746
gene-LINF_190018400	LR812952.1	551478	554042	+	2565	1432	7	2766	1137	20	39	176	979	852
gene-LINF_190018500	LR812952.1	557400	560312	+	2913	426	17	1778	474	17	19	61	255	652
gene-LINF_190018600	LR812952.1	565904	566272	+	369	333	101	1034	340	242	195	58	153	432
gene-LINF_190018700	LR812952.1	568813	570051	+	1239	509	92	1543	594	148	261	58	312	385
gene-LINF_190018800	LR812952.1	572528	575050	+	2523	1620	84	4026	1289	150	256	134	958	781
gene-LINF_190018900	LR812952.1	577770	579824	+	2055	751	81	2284	782	191	301	83	464	601
gene-LINF_190019000	LR812952.1	580846	582942	+	2097	750	68	2600	893	153	260	87	443	606
gene-LINF_190019100	LR812952.1	585430	587940	+	2511	1571	83	4092	1319	180	269	146	976	801
gene-LINF_190019200	LR812952.1	590657	592711	+	2055	713	87	2306	812	157	336	80	458	560
gene-LINF_190019300	LR812952.1	593736	596069	+	2334	812	89	2454	916	157	241	90	509	616
gene-LINF_190019400	LR812952.1	597094	598125	+	1032	327	12	1281	462	30	37	33	215	385
gene-LINF_190019500	LR812952.1	598134	599426	+	1293	430	64	1322	461	136	248	50	269	340
gene-LINF_190019600	LR812952.1	600451	602784	+	2334	819	84	2886	1031	190	255	112	514	735
gene-LINF_190019700	LR812952.1	605765	607969	+	2205	1808	32	6864	2692	93	141	280	1084	1808
gene-LINF_190019800	LR812952.1	612875	614077	+	1203	1122	44	3700	1046	73	144	158	603	1109
gene-LINF_190019900	LR812952.1	615589	615855	+	267	1092	0	3713	1664	0	0	87	617	677
gene-LINF_190020000	LR812952.1	617504	617998	+	495	363	137	625	214	284	349	65	218	316
gene-LINF_190020100	LR812952.1	620030	622273	+	2244	666	26	2178	741	44	40	113	384	752
gene-LINF_190020200	LR812952.1	625763	627604	+	1842	1797	292	5684	1736	383	863	242	926	1803
gene-LINF_190020300	LR812952.1	628678	629559	+	882	587	244	1604	577	354	633	80	338	395
gene-LINF_190020400	LR812952.1	630429	631115	+	687	1745	506	5904	2162	786	1251	277	981	1946
gene-LINF_190020500	LR812952.1	633333	636134	+	2802	1448	161	5524	1944	180	604	213	725	1641
gene-LINF_190020600	LR812952.1	637228	638292	+	1065	5183	366	21623	7533	531	1417	608	2629	4684
gene-LINF_190020700	LR812952.1	638323	638646	+	324	1337	0	5933	2313	0	0	189	776	1501
gene-LINF_190020800	LR812952.1	648038	649135	+	1098	367	31	1353	546	89	126	45	241	382
gene-LINF_190020900	LR812952.1	649425	650516	+	1092	1472	366	4964	1475	655	664	240	838	1638
gene-LINF_190021000	LR812952.1	650906	652660	+	1755	2964	388	13048	4697	867	915	436	1706	3725
gene-LINF_190021100	LR812952.1	653867	654220	+	354	497	198	1625	598	270	303	88	277	684
gene-LINF_190021200	LR812952.1	655017	656882	+	1866	962	417	1886	599	707	1608	119	442	413
gene-LINF_190021300	LR812952.1	659024	659869	+	846	1036	332	3878	1435	603	1190	164	510	1367
gene-LINF_190021350	LR812952.1	660651	660995	+	345	457	160	919	264	363	228	101	228	582
gene-LINF_190021400	LR812952.1	662293	663258	+	966	693	136	2660	753	370	450	113	381	925
gene-LINF_190021500	LR812952.1	664776	665429	+	654	147	0	774	232	7	2	28	86	318
gene-LINF_190021600	LR812952.1	668337	670694	+	2358	2940	1458	3465	1009	2699	4107	381	1370	1078
gene-LINF_190021700	LR812952.1	671773	673071	+	1299	2009	1077	2737	949	1903	2201	345	1181	1597
gene-LINF_190021800	LR812952.1	677424	680021	+	2598	1637	569	5030	1566	1139	1354	260	979	2082
gene-LINF_190021900	LR812952.1	680987	682180	+	1194	1200	426	3507	1372	568	1045	166	659	1080
gene-LINF_190022000	LR812952.1	683610	685154	+	1545	2791	850	5485	1231	2932	2320	386	1575	3219
gene-LINF_190022100	LR812952.1	687193	687939	+	747	315	46	978	343	83	108	47	201	315
gene-LINF_190022200	LR812952.1	688885	690006	+	1122	143	5	516	191	20	21	20	93	213
gene-LINF_190022300	LR812952.1	690968	692764	+	1797	927	337	2515	964	584	841	107	471	954
gene-LINF_190022400	LR812952.1	693607	694107	+	501	957	540	1732	657	729	1466	126	543	636
gene-LINF_190022500	LR812952.1	695000	695836	+	837	207	47	648	250	74	91	26	146	250
gene-LINF_190022600	LR812952.1	696302	697228	+	927	401	94	1127	346	162	189	42	236	434
gene-LINF_190022700	LR812952.1	697775	698152	+	378	691	357	1190	557	346	993	60	422	294
gene-LINF_190022800	LR812952.1	701256	701328	+	73	51	0	207	83	1	0	12	32	91
gene-LINF_190022900	LR812952.1	701429	701517	+	89	51	3	95	29	11	13	7	26	30
gene-LINF_190023000	LR812952.1	702318	704207	+	1890	432	8	1633	465	15	19	65	252	512
gene-LINF_200005000	LR812953.1	1822	5220	-	3399	3116	415	5380	1815	510	1118	309	1886	1706
gene-LINF_200005100	LR812953.1	5855	7093	-	1239	773	44	2266	956	42	60	143	553	884
gene-LINF_200005200	LR812953.1	8094	8933	-	840	3234	354	7521	3897	453	1090	864	2913	3881
gene-LINF_200005300	LR812953.1	10876	12504	-	1629	750	29	1286	553	28	62	75	495	368
gene-LINF_200005400	LR812953.1	13413	14381	-	969	465	11	1170	529	11	12	72	259	446
gene-LINF_200005500	LR812953.1	15859	16335	-	477	385	48	1362	456	80	120	94	317	645
gene-LINF_200005600	LR812953.1	17316	20813	-	3498	1584	131	3675	1182	214	293	232	1124	1291
gene-LINF_200005700	LR812953.1	21864	22475	-	612	432	49	982	560	44	129	54	248	262
gene-LINF_200005800	LR812953.1	24086	25813	-	1728	2570	565	3200	1296	770	1127	277	1639	1072
gene-LINF_200005900	LR812953.1	28176	31508	-	3333	1951	252	3391	1261	309	615	228	1044	999
gene-LINF_200006000	LR812953.1	34084	35523	-	1440	4605	500	11324	4329	778	1263	576	2684	4300
gene-LINF_200006100	LR812953.1	36948	38201	-	1254	4376	473	11038	4362	819	1248	539	2521	4329
gene-LINF_200006200	LR812953.1	40929	42599	-	1671	1110	221	2446	964	374	612	166	686	1066
gene-LINF_200006300	LR812953.1	43567	44901	-	1335	1422	357	2937	970	634	936	195	808	1169
gene-LINF_200006400	LR812953.1	46672	50331	-	3660	2872	40	5668	2324	97	154	305	1710	1795
gene-LINF_200006500	LR812953.1	52322	55048	-	2727	1895	38	4346	1614	48	60	258	1359	1444
gene-LINF_200006600	LR812953.1	56714	59131	-	2418	911	49	2208	645	97	135	158	454	856
gene-LINF_200006700	LR812953.1	60027	61049	-	1023	692	89	1920	885	160	199	111	404	644
gene-LINF_200006800	LR812953.1	62170	64758	-	2589	1374	17	3064	1002	34	41	169	719	1020
gene-LINF_200006900	LR812953.1	65795	66391	-	597	903	11	2708	979	21	60	164	510	1022
gene-LINF_200007000	LR812953.1	66998	69574	-	2577	1625	118	3717	1364	308	289	246	836	1317
gene-LINF_200007100	LR812953.1	70422	71675	-	1254	665	60	1321	547	107	97	111	385	441
gene-LINF_200007200	LR812953.1	74481	77330	-	2850	1135	67	2767	909	198	221	198	653	1265
gene-LINF_200007300	LR812953.1	78285	78734	-	450	1191	254	2210	660	464	788	167	503	682
gene-LINF_200007400	LR812953.1	79859	80644	-	786	2482	20	5923	2083	51	53	359	1387	2041
gene-LINF_200007500	LR812953.1	81404	82543	-	1140	822	97	1867	661	231	221	125	395	848
gene-LINF_200007600	LR812953.1	84617	99094	-	14478	9375	977	14664	3010	3606	3112	1300	4579	7064
gene-LINF_200007700	LR812953.1	100417	101205	+	789	667	0	1625	718	0	1	100	364	403
gene-LINF_200007800	LR812953.1	101585	102646	+	1062	2288	233	5776	2699	282	737	314	1165	1677
gene-LINF_200007900	LR812953.1	103147	104505	+	1359	1927	572	3932	1234	776	1498	297	1049	1083
gene-LINF_200008000	LR812953.1	106401	108800	+	2400	1009	78	2860	956	161	360	152	524	893
