Geneid	Chr	Start	End	Strand	Length	../hyb2/mark_duplicates/hyb2.sorted.markdup.bam	../tar3/mark_duplicates/tar3.sorted.markdup.bam	../hyb1/mark_duplicates/hyb1.sorted.markdup.bam	../tar2/mark_duplicates/tar2.sorted.markdup.bam	../hyb3/mark_duplicates/hyb3.sorted.markdup.bam	../tar1/mark_duplicates/tar1.sorted.markdup.bam
gene-LtaPh_0901791	BLBS01000010.1	76153	76527	+	375	529	124	1043	53	80	239
gene-LtaPh_0901801	BLBS01000010.1	78739	79065	-	327	0	0	0	0	0	0
gene-LtaPh_0901900	BLBS01000010.1	78741	79118	+	378	220	415	365	179	58	400
gene-LtaPh_0902000	BLBS01000010.1	80210	81691	+	1482	376	834	619	486	72	1119
gene-LtaPh_0902100	BLBS01000010.1	82263	83183	+	921	747	1060	1414	864	124	2542
gene-LtaPh_0902200	BLBS01000010.1	85487	87910	+	2424	1164	2285	1922	1729	225	5236
gene-LtaPh_0902300	BLBS01000010.1	89107	90627	+	1521	1047	2191	1782	1551	256	4280
gene-LtaPh_0902400	BLBS01000010.1	92191	95040	+	2850	1046	2248	1537	1456	183	3592
gene-LtaPh_0902500	BLBS01000010.1	95862	98861	+	3000	817	2755	1098	1354	195	3187
gene-LtaPh_0902600	BLBS01000010.1	99102	100082	+	981	442	926	750	788	147	1722
gene-LtaPh_0902700	BLBS01000010.1	102224	104095	+	1872	677	927	1020	822	135	2247
gene-LtaPh_0902800	BLBS01000010.1	106971	109187	+	2217	837	1812	1355	1056	213	2929
gene-LtaPh_0902900	BLBS01000010.1	109916	113842	+	3927	871	2381	1317	1328	191	4088
gene-LtaPh_0903000	BLBS01000010.1	114575	115291	+	717	433	886	702	538	105	1316
gene-LtaPh_0903100	BLBS01000010.1	116163	118835	+	2673	1296	2887	2023	1716	305	4718
gene-LtaPh_0903151	BLBS01000010.1	120601	123132	+	2532	3735	1436	5412	685	426	2110
gene-LtaPh_0903201	BLBS01000010.1	126337	128868	+	2532	3235	1364	4707	625	429	1968
gene-LtaPh_0903251	BLBS01000010.1	131198	133750	+	2553	1636	2572	2457	1881	298	5305
gene-LtaPh_0903300	BLBS01000010.1	135486	138683	+	3198	1298	3488	2214	2118	245	5680
gene-LtaPh_0903400	BLBS01000010.1	140205	140960	+	756	293	516	491	374	74	925
gene-LtaPh_0903500	BLBS01000010.1	141323	144478	+	3156	1869	3632	3267	1959	344	6221
gene-LtaPh_0903600	BLBS01000010.1	145309	148545	+	3237	996	3214	1699	1599	236	4443
gene-LtaPh_0903700	BLBS01000010.1	149216	149848	+	633	372	643	673	544	92	1628
gene-LtaPh_0903800	BLBS01000010.1	150765	151028	+	264	547	807	1020	611	174	1631
gene-LtaPh_0903900	BLBS01000010.1	151982	152959	+	978	571	1315	1034	841	171	2319
gene-LtaPh_0903951	BLBS01000010.1	152127	152867	-	741	1	5	2	0	0	9
gene-LtaPh_0904000	BLBS01000010.1	153569	154948	+	1380	645	1472	1079	947	137	2433
gene-LtaPh_0904100	BLBS01000010.1	155710	161478	+	5769	1578	4206	3055	2564	401	8820
gene-LtaPh_0904161	BLBS01000010.1	162478	163788	+	1311	1871	2440	2937	1598	389	5554
gene-LtaPh_0904221	BLBS01000010.1	166579	167181	+	603	634	1101	1139	714	167	2500
gene-LtaPh_0904300	BLBS01000010.1	169926	173153	+	3228	2322	2679	4049	1420	353	4845
gene-LtaPh_0904400	BLBS01000010.1	175053	176477	+	1425	468	1449	828	720	120	2118
gene-LtaPh_0904500	BLBS01000010.1	177770	179719	+	1950	388	1142	906	747	99	2179
gene-LtaPh_0904600	BLBS01000010.1	180840	183932	+	3093	1820	4179	3173	1878	455	5968
gene-LtaPh_0904700	BLBS01000010.1	184931	193981	+	9051	3161	8258	5276	3991	770	11541
gene-LtaPh_0904800	BLBS01000010.1	194813	196771	+	1959	1201	2616	2210	1753	250	4540
gene-LtaPh_0904900	BLBS01000010.1	199530	201707	+	2178	1314	2140	2332	1391	296	4263
gene-LtaPh_0905000	BLBS01000010.1	202572	203807	+	1236	738	1687	1435	966	219	2362
gene-LtaPh_0905100	BLBS01000010.1	204591	209591	+	5001	2249	3775	4340	2558	461	8769
gene-LtaPh_0905200	BLBS01000010.1	210454	211701	+	1248	565	1333	1135	899	166	2563
gene-LtaPh_0905300	BLBS01000010.1	212545	214860	+	2316	1856	4189	3463	2395	395	7358
gene-LtaPh_0905400	BLBS01000010.1	218190	221153	+	2964	1414	1712	2608	1432	256	4935
gene-LtaPh_0905500	BLBS01000010.1	223433	226714	+	3282	1198	2365	2520	1563	217	5622
gene-LtaPh_0905600	BLBS01000010.1	228212	230512	+	2301	740	1626	1239	1145	172	2559
gene-LtaPh_0905700	BLBS01000010.1	231363	232151	+	789	353	847	577	537	81	1622
gene-LtaPh_0905800	BLBS01000010.1	233178	234635	+	1458	420	1127	682	600	109	1920
gene-LtaPh_0905900	BLBS01000010.1	235899	236756	+	858	904	503	1733	350	204	1094
gene-LtaPh_0905951	BLBS01000010.1	238451	239308	+	858	903	495	1719	329	209	1063
gene-LtaPh_0906000	BLBS01000010.1	241406	244930	+	3525	517	1605	913	950	134	2677
gene-LtaPh_0906100	BLBS01000010.1	245945	246949	+	1005	281	562	566	480	77	1238
gene-LtaPh_0906200	BLBS01000010.1	247829	250861	+	3033	805	1445	1438	834	151	2580
gene-LtaPh_0906300	BLBS01000010.1	251798	254032	+	2235	494	910	927	579	104	1653
gene-LtaPh_0906400	BLBS01000010.1	255529	258984	+	3456	1439	2974	2518	1938	265	6559
gene-LtaPh_0906500	BLBS01000010.1	260159	261661	+	1503	1019	1458	2030	1181	280	3429
gene-LtaPh_0906600	BLBS01000010.1	262017	264677	+	2661	700	1896	1359	1081	197	3180
gene-LtaPh_0906700	BLBS01000010.1	265567	266625	+	1059	439	1065	872	711	135	1788
gene-LtaPh_0906800	BLBS01000010.1	267340	267756	+	417	906	1913	1444	1037	262	2354
gene-LtaPh_0906900	BLBS01000010.1	268120	269391	+	1272	456	921	652	890	117	1069
gene-LtaPh_0907000	BLBS01000010.1	269679	270599	+	921	39	99	49	40	16	116
gene-LtaPh_0907300	BLBS01000010.1	278044	279591	-	1548	877	1874	1621	999	220	2907
gene-LtaPh_0907400	BLBS01000010.1	280697	282274	-	1578	609	1187	920	680	94	1680
gene-LtaPh_0907501	BLBS01000010.1	283907	284956	-	1050	888	1923	1298	1349	242	3172
gene-LtaPh_0907600	BLBS01000010.1	285668	287869	-	2202	1024	1871	1496	1491	205	3239
gene-LtaPh_0907700	BLBS01000010.1	288167	294781	-	6615	3607	8391	5923	4322	685	11807
gene-LtaPh_0907800	BLBS01000010.1	296371	299361	-	2991	1322	2592	2048	1656	274	4455
gene-LtaPh_0907900	BLBS01000010.1	300358	316473	-	16116	2944	8080	5080	4544	627	13091
gene-LtaPh_0908000	BLBS01000010.1	318092	320290	-	2199	4244	6588	6213	4583	892	14385
gene-LtaPh_0908100	BLBS01000010.1	321630	322328	-	699	471	668	827	610	81	1961
gene-LtaPh_0908200	BLBS01000010.1	322906	326550	-	3645	2012	4380	2750	2555	385	6681
gene-LtaPh_0908300	BLBS01000010.1	328158	332198	-	4041	3496	4939	5483	2513	552	7634
gene-LtaPh_0908400	BLBS01000010.1	332948	333712	-	765	404	723	616	712	92	1258
gene-LtaPh_0908500	BLBS01000010.1	334002	335633	-	1632	700	1727	1121	1051	157	2960
gene-LtaPh_0908600	BLBS01000010.1	336463	338772	-	2310	866	2518	1389	1371	189	3694
gene-LtaPh_0908700	BLBS01000010.1	339394	340590	-	1197	1201	3053	1866	1910	304	3807
gene-LtaPh_0908800	BLBS01000010.1	341284	342075	-	792	559	898	884	564	89	1732
gene-LtaPh_0908851	BLBS01000010.1	342862	343266	+	405	0	3	2	1	0	1
gene-LtaPh_0908900	BLBS01000010.1	342982	343272	-	291	344	588	556	491	78	992
gene-LtaPh_0909000	BLBS01000010.1	344261	345835	-	1575	943	1196	1760	692	150	2498
gene-LtaPh_0909100	BLBS01000010.1	346854	348461	-	1608	862	1794	1203	1070	163	3137
gene-LtaPh_0909200	BLBS01000010.1	349771	356967	-	7197	2610	5733	4457	3641	474	9919
gene-LtaPh_0909251	BLBS01000010.1	358403	358789	-	387	1206	3257	2484	2528	381	6070
gene-LtaPh_0909300	BLBS01000010.1	359667	360227	-	561	515	1126	946	622	122	1736
gene-LtaPh_0909400	BLBS01000010.1	364543	365130	+	588	2	11	12	11	1	25
gene-LtaPh_0909431	BLBS01000010.1	364660	365109	-	450	1934	2575	3981	1824	487	6671
gene-LtaPh_0909461	BLBS01000010.1	366472	366921	-	450	2584	3139	4493	2047	564	7409
gene-LtaPh_0909500	BLBS01000010.1	367891	371523	-	3633	1354	3653	2786	1826	347	5704
gene-LtaPh_0909600	BLBS01000010.1	371947	373749	-	1803	539	1650	912	730	129	1877
gene-LtaPh_0909700	BLBS01000010.1	374532	376658	-	2127	902	2900	1718	1189	251	3603
gene-LtaPh_1709200	BLBS01000010.1	378160	379431	+	1272	10	35	38	19	7	46
gene-LtaPh_0909731	BLBS01000010.1	378205	379419	-	1215	6113	12765	10497	6825	1753	17733
gene-LtaPh_0909761	BLBS01000010.1	380587	381801	-	1215	6272	13595	11331	7080	1891	19060
gene-LtaPh_0909800	BLBS01000010.1	383340	385985	-	2646	2223	5866	4215	2743	443	9369
gene-LtaPh_0909900	BLBS01000010.1	388358	404200	-	15843	3302	11495	6147	4082	838	13240
gene-LtaPh_0910000	BLBS01000010.1	404720	405658	-	939	552	1100	820	563	148	1433
gene-LtaPh_0910200	BLBS01000010.1	407764	408576	+	813	369	605	618	362	102	1028
gene-LtaPh_0910300	BLBS01000010.1	409311	411149	+	1839	1553	5787	2942	2313	444	4999
gene-LtaPh_0910400	BLBS01000010.1	416236	416514	+	279	1736	441	2481	288	255	876
gene-LtaPh_0910600	BLBS01000010.1	420185	421978	-	1794	903	2658	1581	1538	228	4744
gene-LtaPh_0910700	BLBS01000010.1	423040	424098	-	1059	351	844	501	518	103	1439
gene-LtaPh_0910800	BLBS01000010.1	426089	428275	-	2187	1261	2296	2154	1138	291	3543
gene-LtaPh_0910900	BLBS01000010.1	430759	431514	-	756	643	1793	1194	978	173	2377
gene-LtaPh_0911000	BLBS01000010.1	432808	433692	-	885	448	1087	947	803	139	1942
gene-LtaPh_0911101	BLBS01000010.1	435261	436700	-	1440	4628	9099	8354	4883	1373	11859
gene-LtaPh_0911201	BLBS01000010.1	437726	439528	-	1803	1396	2700	2533	1509	369	4495
gene-LtaPh_0911300	BLBS01000010.1	440797	441645	-	849	1041	1560	1507	1065	236	3240
gene-LtaPh_0911400	BLBS01000010.1	444109	445485	-	1377	986	1488	1766	937	185	2857
gene-LtaPh_0911500	BLBS01000010.1	446514	447473	-	960	1444	2675	2589	1435	416	4531
gene-LtaPh_0911600	BLBS01000010.1	448397	448855	-	459	761	2022	1428	859	199	2049
gene-LtaPh_0911700	BLBS01000010.1	449922	450701	-	780	1079	1606	1732	1292	283	2880
gene-LtaPh_0911800	BLBS01000010.1	451212	452069	-	858	802	2394	1561	1839	228	3717
gene-LtaPh_0911900	BLBS01000010.1	453030	455246	-	2217	1166	1525	2263	1228	246	3352
gene-LtaPh_0912000	BLBS01000010.1	457505	458095	-	591	1900	1708	3172	1126	390	3132
gene-LtaPh_0912100	BLBS01000010.1	459382	462375	-	2994	1666	2970	2657	2013	309	5203
gene-LtaPh_0912200	BLBS01000010.1	465143	466930	-	1788	616	1548	942	1035	138	2376
gene-LtaPh_0912300	BLBS01000010.1	467472	471971	-	4500	816	2303	1271	1508	187	3651
gene-LtaPh_0912400	BLBS01000010.1	473067	474326	-	1260	771	1290	1078	1186	150	3083
gene-LtaPh_0912500	BLBS01000010.1	475612	479790	-	4179	2511	6169	3754	3288	529	8817
gene-LtaPh_0912600	BLBS01000010.1	480602	481894	-	1293	773	1600	1134	1101	164	2484
gene-LtaPh_0912800	BLBS01000010.1	482603	490120	-	7518	2694	5452	3831	3458	539	8904
gene-LtaPh_0912900	BLBS01000010.1	493285	493839	-	555	256	814	427	455	68	1155
gene-LtaPh_0913000	BLBS01000010.1	494535	496520	-	1986	1032	2295	1648	1441	194	3493
gene-LtaPh_0913100	BLBS01000010.1	498296	499318	-	1023	583	1156	796	702	109	1626
gene-LtaPh_0913200	BLBS01000010.1	500787	501890	-	1104	508	678	826	465	85	1348
gene-LtaPh_0913300	BLBS01000010.1	502812	504542	-	1731	665	1204	1106	843	138	2144
gene-LtaPh_0913400	BLBS01000010.1	505305	505964	-	660	375	615	531	423	72	1116
gene-LtaPh_0913500	BLBS01000010.1	507632	507865	-	234	260	341	461	203	68	682
gene-LtaPh_0913551	BLBS01000010.1	509693	510742	-	1050	657	988	903	621	128	1268
gene-LtaPh_0913600	BLBS01000010.1	512779	514989	-	2211	1008	1574	1878	1353	181	4355
gene-LtaPh_0913700	BLBS01000010.1	516077	517885	-	1809	1070	2558	1724	1796	157	3826
gene-LtaPh_1901700	BLBS01000010.1	519496	519831	-	336	28224	30739	47475	17213	5851	51099
gene-LtaPh_0913900	BLBS01000010.1	520778	521356	-	579	313	972	635	496	77	1417
gene-LtaPh_0914000	BLBS01000010.1	522932	523732	-	801	328	947	541	438	86	1363
gene-LtaPh_0914100	BLBS01000010.1	525564	527378	-	1815	497	1082	788	685	125	1677
gene-LtaPh_0914200	BLBS01000010.1	528136	530121	-	1986	955	2005	1795	1047	215	2914
gene-LtaPh_0914300	BLBS01000010.1	530872	532476	-	1605	661	1490	1248	721	169	1727
gene-LtaPh_0914400	BLBS01000010.1	534322	536046	-	1725	424	996	695	429	78	1251
gene-LtaPh_0914500	BLBS01000010.1	537255	537671	-	417	853	2555	1744	1926	269	4301
gene-LtaPh_0914600	BLBS01000010.1	538441	539157	-	717	375	868	737	498	99	1235
gene-LtaPh_0914700	BLBS01000010.1	543528	544742	-	1215	652	1657	1217	851	174	2367
gene-LtaPh_0914800	BLBS01000010.1	545688	546395	-	708	305	660	552	397	77	994
gene-LtaPh_0914900	BLBS01000010.1	546724	547176	-	453	354	976	674	405	93	1071
gene-LtaPh_0915000	BLBS01000010.1	548157	548519	-	363	290	611	617	394	79	1098
gene-LtaPh_0915200	BLBS01000010.1	553682	554035	-	354	450	1341	742	676	142	1408
gene-LtaPh_0915300	BLBS01000010.1	556156	556521	-	366	556	1196	979	792	158	1225
gene-LtaPh_0915400	BLBS01000010.1	557416	562344	-	4929	1820	3814	4020	2152	434	7357
gene-LtaPh_0915500	BLBS01000010.1	562983	563999	-	1017	573	1065	1192	715	180	2036
gene-LtaPh_0915600	BLBS01000010.1	564480	564965	-	486	403	783	863	402	131	1344
gene-LtaPh_0915700	BLBS01000010.1	565452	567443	-	1992	853	2035	1351	786	216	2249
gene-LtaPh_0915800	BLBS01000010.1	567917	568462	-	546	455	842	809	446	144	1165
gene-LtaPh_3221200	BLBS01000011.1	6486	7889	-	1404	417	2671	724	1504	84	4573
gene-LtaPh_1017200	BLBS01000011.1	10651	12636	-	1986	239	547	381	378	33	5795
gene-LtaPh_1008651	BLBS01000011.1	14594	16075	-	1482	505	1823	725	1058	94	2382
gene-LtaPh_1000100	BLBS01000011.1	24861	28055	+	3195	556	3681	1016	1160	147	3415
gene-LtaPh_1000200	BLBS01000011.1	28739	31606	+	2868	310	2778	650	1003	110	2753
gene-LtaPh_1000300	BLBS01000011.1	32485	33576	+	1092	249	1649	472	715	73	1711
gene-LtaPh_1000400	BLBS01000011.1	35331	35765	+	435	2792	18061	4022	14150	1023	23173
gene-LtaPh_1000500	BLBS01000011.1	36350	37381	+	1032	234	1297	441	632	55	1770
gene-LtaPh_1000600	BLBS01000011.1	42700	43839	+	1140	304	1645	781	228	52	753
gene-LtaPh_1000700	BLBS01000011.1	45111	45884	+	774	211	1420	462	779	65	2040
gene-LtaPh_1000800	BLBS01000011.1	46960	48147	+	1188	320	2230	649	1287	102	2676
gene-LtaPh_1000900	BLBS01000011.1	49506	50642	+	1137	45	319	67	150	8	483
gene-LtaPh_1001100	BLBS01000011.1	60575	62914	+	2340	629	4079	1121	2098	156	6269
gene-LtaPh_1001200	BLBS01000011.1	66511	67626	+	1116	427	1933	693	1084	76	3138
gene-LtaPh_1001300	BLBS01000011.1	71612	73756	+	2145	889	3427	1435	1719	149	4694
gene-LtaPh_1001400	BLBS01000011.1	75692	77848	+	2157	591	2435	951	1602	107	4545
gene-LtaPh_1001500	BLBS01000011.1	79265	79981	+	717	290	833	461	724	43	2259
gene-LtaPh_1001600	BLBS01000011.1	82040	83995	+	1956	398	2132	658	1176	95	3114
gene-LtaPh_1001651	BLBS01000011.1	84659	85483	-	825	0	2	1	1	0	1
gene-LtaPh_1001700	BLBS01000011.1	84806	85471	+	666	456	1498	821	1007	97	2571
gene-LtaPh_1001800	BLBS01000011.1	86837	88060	+	1224	433	1130	625	833	52	2384
gene-LtaPh_1001900	BLBS01000011.1	94291	95715	+	1425	1961	11018	3509	5767	483	14660
gene-LtaPh_1002000	BLBS01000011.1	97092	99239	+	2148	403	2258	574	1596	86	3150
gene-LtaPh_1002100	BLBS01000011.1	100058	100888	+	831	510	2546	838	1699	121	4227
gene-LtaPh_1002200	BLBS01000011.1	103937	105454	+	1518	548	2894	734	2249	99	5222
gene-LtaPh_1002300	BLBS01000011.1	111027	113072	+	2046	549	2586	839	1739	120	4769
gene-LtaPh_1002400	BLBS01000011.1	114071	114922	+	852	379	1450	602	1251	88	2621
gene-LtaPh_1002451	BLBS01000011.1	114140	114778	-	639	0	7	2	1	0	1
gene-LtaPh_1002500	BLBS01000011.1	115732	116121	+	390	1875	4343	2359	4238	433	11841
gene-LtaPh_1002600	BLBS01000011.1	117711	120644	+	2934	929	5312	1265	2630	210	6989
gene-LtaPh_1002700	BLBS01000011.1	121624	128682	+	7059	963	4618	1729	3070	201	8308
gene-LtaPh_1002800	BLBS01000011.1	129867	131174	+	1308	1069	4156	2030	3340	324	9961
gene-LtaPh_1002900	BLBS01000011.1	134509	136797	+	2289	636	3349	1006	1562	153	4723
gene-LtaPh_1003000	BLBS01000011.1	138882	141992	+	3111	832	4400	1327	2261	191	6591
gene-LtaPh_1003100	BLBS01000011.1	143667	149549	+	5883	1387	5535	2505	2921	329	9608
gene-LtaPh_1003200	BLBS01000011.1	151682	153136	+	1455	584	1541	971	1397	154	4129
gene-LtaPh_1003300	BLBS01000011.1	154334	154534	+	201	82	278	128	211	17	560
gene-LtaPh_1003381	BLBS01000011.1	156198	158264	+	2067	267	888	422	425	58	1349
gene-LtaPh_1003461	BLBS01000011.1	161525	162487	+	963	205	687	344	318	38	1132
gene-LtaPh_1003541	BLBS01000011.1	168397	168978	+	582	422	1171	622	344	89	1216
gene-LtaPh_1003621	BLBS01000011.1	175682	177721	+	2040	1463	4305	2145	1574	267	4770
gene-LtaPh_1003701	BLBS01000011.1	182644	184680	+	2037	385	1528	656	714	93	1834
gene-LtaPh_1003781	BLBS01000011.1	186385	188862	+	2478	390	1234	702	779	101	2946
gene-LtaPh_1003861	BLBS01000011.1	191504	193294	+	1791	354	1418	663	605	88	1508
gene-LtaPh_1003941	BLBS01000011.1	195009	197681	+	2673	407	1261	717	756	89	3173
gene-LtaPh_1004021	BLBS01000011.1	199886	201922	+	2037	353	1589	714	669	81	1640
gene-LtaPh_1004101	BLBS01000011.1	203631	206306	+	2676	564	2001	1143	1338	158	4753
gene-LtaPh_1004181	BLBS01000011.1	208230	209996	+	1767	610	2410	994	1227	145	3006
gene-LtaPh_1004300	BLBS01000011.1	212617	213099	+	483	117	599	241	351	38	1179
gene-LtaPh_1004400	BLBS01000011.1	216236	216811	+	576	1657	2334	2658	415	326	1329
gene-LtaPh_2926000	BLBS01000011.1	227692	227943	+	252	451	1629	826	781	136	2755
gene-LtaPh_1004701	BLBS01000011.1	253610	256237	+	2628	560	384	998	139	186	590
gene-LtaPh_1005001	BLBS01000011.1	257095	259227	+	2133	347	276	698	116	144	354
gene-LtaPh_1005301	BLBS01000011.1	260085	262217	+	2133	401	257	749	125	123	395
gene-LtaPh_1005601	BLBS01000011.1	263074	265206	+	2133	364	265	705	102	136	413
gene-LtaPh_1005901	BLBS01000011.1	266065	268197	+	2133	377	267	705	109	129	371
gene-LtaPh_1006201	BLBS01000011.1	269057	271270	+	2214	420	316	840	168	121	807
gene-LtaPh_1006501	BLBS01000011.1	274097	275944	+	1848	699	437	1279	208	262	698
gene-LtaPh_1006801	BLBS01000011.1	277168	278982	+	1815	901	718	1680	312	254	1478
gene-LtaPh_1007101	BLBS01000011.1	282545	284914	+	2370	348	470	636	542	140	1631
gene-LtaPh_1007401	BLBS01000011.1	285821	287575	+	1755	316	365	506	453	100	1197
gene-LtaPh_1007701	BLBS01000011.1	293176	295545	+	2370	485	645	731	750	154	1702
gene-LtaPh_1008001	BLBS01000011.1	296451	298205	+	1755	482	742	879	811	173	2043
gene-LtaPh_1008301	BLBS01000011.1	299110	300624	+	1515	492	652	866	818	155	2176
gene-LtaPh_1009000	BLBS01000011.1	307530	308696	+	1167	386	1536	646	700	92	1956
gene-LtaPh_1009100	BLBS01000011.1	312801	333071	+	20271	1124	10467	1978	4227	374	10907
gene-LtaPh_1009200	BLBS01000011.1	335064	336164	+	1101	605	4579	1135	2409	166	5815
gene-LtaPh_1009211	BLBS01000011.1	366573	368537	+	1965	134	318	224	196	19	733
gene-LtaPh_1009221	BLBS01000011.1	369505	371469	+	1965	111	304	267	156	24	768
gene-LtaPh_1009231	BLBS01000011.1	372436	374400	+	1965	100	325	239	176	28	776
gene-LtaPh_1009241	BLBS01000011.1	386958	388970	+	2013	199	611	395	298	55	1370
gene-LtaPh_1009251	BLBS01000011.1	392782	394794	+	2013	211	594	478	301	38	1285
gene-LtaPh_1009261	BLBS01000011.1	395125	397710	+	2586	300	735	577	466	72	1943
gene-LtaPh_1009271	BLBS01000011.1	398863	400668	+	1806	356	671	632	296	75	952
gene-LtaPh_1009281	BLBS01000011.1	403472	403798	+	327	17	45	79	17	6	72
gene-LtaPh_1009291	BLBS01000011.1	414771	416873	+	2103	87	216	166	101	16	318
gene-LtaPh_1009301	BLBS01000011.1	417876	419690	+	1815	205	697	577	80	51	319
gene-LtaPh_1009311	BLBS01000011.1	423038	424843	+	1806	208	480	503	174	47	576
gene-LtaPh_1009321	BLBS01000011.1	428583	429404	+	822	272	373	626	167	44	495
gene-LtaPh_1009331	BLBS01000011.1	445701	447449	+	1749	141	206	198	127	19	347
gene-LtaPh_1009341	BLBS01000011.1	448549	450297	+	1749	117	213	209	155	23	302
gene-LtaPh_1009351	BLBS01000011.1	454555	456348	+	1794	114	156	153	67	18	313
gene-LtaPh_1009361	BLBS01000011.1	474330	474677	-	348	0	1	0	0	0	4
gene-LtaPh_1009371	BLBS01000011.1	477208	478941	+	1734	54	104	103	62	8	154
gene-LtaPh_1009381	BLBS01000011.1	483525	485582	+	2058	418	642	505	296	118	1297
gene-LtaPh_1009391	BLBS01000011.1	488148	488483	+	336	146	108	252	39	41	151
gene-LtaPh_1009401	BLBS01000011.1	489457	489768	-	312	0	0	0	0	0	0
gene-LtaPh_1009411	BLBS01000011.1	489537	491336	+	1800	41	75	41	34	7	131
gene-LtaPh_1009421	BLBS01000011.1	493554	493904	-	351	0	1	0	0	0	0
gene-LtaPh_1009431	BLBS01000011.1	493573	495375	+	1803	155	210	315	65	17	227
gene-LtaPh_1009441	BLBS01000011.1	499617	501398	+	1782	118	196	156	80	29	229
gene-LtaPh_1009451	BLBS01000011.1	509865	511610	+	1746	238	193	415	111	94	357
gene-LtaPh_1009461	BLBS01000011.1	512472	514472	+	2001	94	164	163	75	17	219
gene-LtaPh_1009471	BLBS01000011.1	517618	519426	+	1809	208	297	324	128	50	434
gene-LtaPh_1009481	BLBS01000011.1	523892	524239	-	348	0	0	0	1	0	2
gene-LtaPh_1008400	BLBS01000011.1	536533	536832	+	300	14	10	8	5	1	35
gene-LtaPh_1008000	BLBS01000012.1	3730	4365	+	636	163	308	257	157	31	471
gene-LtaPh_1009511	BLBS01000012.1	5467	7200	+	1734	46	133	88	47	13	146
gene-LtaPh_1007100	BLBS01000012.1	12533	12991	+	459	21	21	41	9	5	20
gene-LtaPh_1009531	BLBS01000012.1	13573	15882	+	2310	32	68	61	39	15	89
gene-LtaPh_1009541	BLBS01000012.1	19975	21765	+	1791	273	397	393	198	74	707
gene-LtaPh_1009551	BLBS01000012.1	22928	24667	+	1740	130	90	185	60	45	193
gene-LtaPh_1009561	BLBS01000012.1	25723	27531	+	1809	90	252	164	113	23	366
gene-LtaPh_1009571	BLBS01000012.1	28853	31678	+	2826	116	170	226	42	17	187
gene-LtaPh_1009581	BLBS01000012.1	35955	37757	+	1803	197	297	290	145	35	516
gene-LtaPh_1009591	BLBS01000012.1	42508	45003	+	2496	211	347	284	229	43	722
gene-LtaPh_1009601	BLBS01000012.1	54432	56054	+	1623	340	350	544	219	102	656
gene-LtaPh_1009500	BLBS01000012.1	68111	71659	-	3549	478	3135	1034	1181	123	3914
gene-LtaPh_1009600	BLBS01000012.1	72787	76026	-	3240	360	2113	659	716	94	2564
gene-LtaPh_1009700	BLBS01000012.1	76906	78213	-	1308	189	1231	420	518	61	1487
gene-LtaPh_1009800	BLBS01000012.1	78838	79956	-	1119	178	1556	428	811	82	1601
gene-LtaPh_1009900	BLBS01000012.1	80742	82178	-	1437	213	1382	377	582	63	1689
gene-LtaPh_1010000	BLBS01000012.1	83121	85442	-	2322	428	3066	929	1143	144	3848
gene-LtaPh_1010100	BLBS01000012.1	85793	86584	-	792	394	1339	789	963	96	1947
gene-LtaPh_1010200	BLBS01000012.1	86883	88670	-	1788	526	2448	797	1274	121	2442
gene-LtaPh_1010300	BLBS01000012.1	94869	96287	-	1419	463	3313	838	1809	162	3551
gene-LtaPh_1010400	BLBS01000012.1	98162	100429	-	2268	960	4177	1590	2788	206	8276
gene-LtaPh_1010500	BLBS01000012.1	102463	104442	-	1980	1127	4889	2109	2350	248	8592
gene-LtaPh_1010551	BLBS01000012.1	106160	106855	-	696	435	1704	698	841	97	2211
gene-LtaPh_1010600	BLBS01000012.1	106199	106882	+	684	1	6	1	3	1	9
gene-LtaPh_1010800	BLBS01000012.1	112532	116062	-	3531	906	3571	1380	1833	197	6456
gene-LtaPh_1011100	BLBS01000012.1	122317	127344	-	5028	869	4284	1564	2075	175	6471
gene-LtaPh_1011200	BLBS01000012.1	128200	131052	-	2853	615	4939	1429	2265	177	7163
gene-LtaPh_1011261	BLBS01000012.1	132715	134178	-	1464	3888	13169	7161	4653	866	11593
gene-LtaPh_1011321	BLBS01000012.1	135621	137084	-	1464	3540	12087	6446	4177	759	10484
gene-LtaPh_1011400	BLBS01000012.1	139363	140211	-	849	273	1412	560	943	94	2273
gene-LtaPh_1011500	BLBS01000012.1	141668	142042	-	375	368	1440	849	983	99	3368
gene-LtaPh_1011600	BLBS01000012.1	142906	144768	-	1863	305	1546	593	879	79	2546
gene-LtaPh_1011700	BLBS01000012.1	146631	148166	-	1536	168	806	258	435	40	1237
gene-LtaPh_1011801	BLBS01000012.1	149464	150723	-	1260	785	3434	1307	2480	154	7191
gene-LtaPh_1011900	BLBS01000012.1	152630	153295	-	666	866	3252	1676	2296	226	6299
gene-LtaPh_1012100	BLBS01000012.1	159342	165485	-	6144	875	6722	1235	2584	251	7502
gene-LtaPh_1012200	BLBS01000012.1	166973	168739	-	1767	486	2134	948	1585	130	4350
gene-LtaPh_1012300	BLBS01000012.1	169277	174262	-	4986	930	4528	1808	2519	220	7931
gene-LtaPh_1012400	BLBS01000012.1	176061	178238	-	2178	837	3125	1407	2000	185	5633
gene-LtaPh_1012500	BLBS01000012.1	179229	179603	-	375	542	1881	827	1061	149	2376
gene-LtaPh_1012600	BLBS01000012.1	180597	181187	-	591	234	1230	401	757	35	1830
