Geneid	Chr	Start	End	Strand	Length	hyb3/mark_duplicates/hyb3.sorted.markdup.bam	tar1/mark_duplicates/tar1.sorted.markdup.bam	inf3/mark_duplicates/inf3.sorted.markdup.bam	hyb2/mark_duplicates/hyb2.sorted.markdup.bam	tar2/mark_duplicates/tar2.sorted.markdup.bam	tar3/mark_duplicates/tar3.sorted.markdup.bam	hyb1/mark_duplicates/hyb1.sorted.markdup.bam	inf1/mark_duplicates/inf1.sorted.markdup.bam	inf2/mark_duplicates/inf2.sorted.markdup.bam
gene-LtaPh_2614300	BLBS01000035.1	526457	526861	+	405	69	2216	0	364	625	1145	697	1	0
gene-LtaPh_2615500	BLBS01000035.1	532145	537412	+	5268	122	3721	0	773	970	2044	1583	2	0
gene-LtaPh_2615600	BLBS01000035.1	538803	540008	+	1206	43	1710	0	193	635	1069	383	0	0
gene-LtaPh_2615700	BLBS01000035.1	541041	541706	+	666	88	5307	0	547	1593	2093	1066	2	0
gene-LtaPh_2615800	BLBS01000035.1	543235	544428	+	1194	110	3766	0	402	1361	1855	836	2	0
gene-LtaPh_2615900	BLBS01000035.1	545592	548021	+	2430	131	6721	0	812	2109	2799	1422	1	0
gene-LtaPh_2616000	BLBS01000035.1	560235	562292	+	2058	343	9804	0	1169	2442	3463	2042	1	0
gene-LtaPh_2616100	BLBS01000035.1	563748	565511	+	1764	55	1950	0	239	674	1672	462	0	0
gene-LtaPh_2616200	BLBS01000035.1	566292	568076	+	1785	82	817	0	734	205	539	1501	1	0
gene-LtaPh_2616300	BLBS01000035.1	571598	573631	+	2034	73	2948	0	384	861	1621	660	0	0
gene-LtaPh_2616400	BLBS01000035.1	574776	576461	+	1686	67	1801	0	240	682	1408	450	2	0
gene-LtaPh_2616500	BLBS01000035.1	581319	582614	+	1296	92	2550	0	436	893	2110	831	1	0
gene-LtaPh_2616551	BLBS01000035.1	583737	584084	-	348	1	31	2	3	28	16	5	9	2
gene-LtaPh_2616600	BLBS01000035.1	583791	584054	+	264	617	18064	468	1794	10051	9982	3197	1030	445
gene-LtaPh_2616700	BLBS01000035.1	584444	584866	+	423	577	12911	487	1714	10113	7902	2633	1029	477
gene-LtaPh_2616800	BLBS01000035.1	585729	586712	+	984	74	2593	0	366	827	1321	747	3	0
gene-LtaPh_2616900	BLBS01000035.1	587561	589372	+	1812	47	1927	0	268	655	1480	442	0	0
gene-LtaPh_2617000	BLBS01000035.1	589780	590370	+	591	17	384	0	63	114	256	120	0	0
gene-LtaPh_2617061	BLBS01000035.1	595683	596741	+	1059	196	2966	0	1071	1345	3885	1881	1	0
gene-LtaPh_2617121	BLBS01000035.1	598164	599222	+	1059	192	3618	0	913	1649	4743	1662	2	0
gene-LtaPh_2617200	BLBS01000035.1	599942	600532	+	591	179	4330	0	624	2168	3615	1150	3	0
gene-LtaPh_2617300	BLBS01000035.1	602459	604582	+	2124	52	2661	0	256	692	1295	633	0	0
gene-LtaPh_2617400	BLBS01000035.1	605831	608908	+	3078	159	5861	12	715	1960	4614	1633	15	6
gene-LtaPh_2617500	BLBS01000035.1	613486	615567	+	2082	57	1768	0	224	568	1020	524	2	0
gene-LtaPh_2617600	BLBS01000035.1	616697	618247	+	1551	31	1031	0	122	317	600	312	0	0
gene-LtaPh_2617700	BLBS01000035.1	618910	620340	+	1431	27	1232	0	172	399	677	388	1	0
gene-LtaPh_2617800	BLBS01000035.1	620955	621545	+	591	25	1364	0	135	354	510	305	0	0
gene-LtaPh_2617851	BLBS01000035.1	621361	621750	-	390	1	3	0	0	0	0	1	0	0
gene-LtaPh_2617900	BLBS01000035.1	622321	623802	+	1482	11	646	0	107	257	379	169	2	0
gene-LtaPh_2618000	BLBS01000035.1	624596	625216	+	621	50	1821	0	286	432	1304	689	3	0
gene-LtaPh_2618900	BLBS01000035.1	641627	649924	+	8298	227	12056	0	1442	5129	12969	2242	3	0
gene-LtaPh_2619100	BLBS01000035.1	653646	655481	+	1836	66	2790	0	280	986	1651	484	1	0
gene-LtaPh_2619200	BLBS01000035.1	660288	667637	+	7350	265	13148	0	1624	4767	8801	2720	2	0
gene-LtaPh_2619300	BLBS01000035.1	669035	671656	+	2622	51	2097	0	266	799	1368	413	3	0
gene-LtaPh_2619400	BLBS01000035.1	673666	676626	+	2961	97	5032	0	589	1701	2376	793	1	0
gene-LtaPh_2619451	BLBS01000035.1	678063	679319	+	1257	53	2313	0	329	1028	1306	576	2	0
gene-LtaPh_2619500	BLBS01000035.1	678105	679196	-	1092	0	2	0	0	0	2	0	0	0
gene-LtaPh_2619600	BLBS01000035.1	680525	682222	+	1698	95	4578	0	540	1641	2041	1031	0	0
gene-LtaPh_2619700	BLBS01000035.1	684999	693902	+	8904	312	13307	0	1638	4582	9259	2736	3	0
gene-LtaPh_2619800	BLBS01000035.1	694841	697060	+	2220	156	5338	0	543	1909	3327	950	2	0
gene-LtaPh_2620200	BLBS01000035.1	700972	701925	+	954	27	1038	0	109	499	548	229	0	0
gene-LtaPh_2620300	BLBS01000035.1	703006	706671	+	3666	241	6767	3	954	2828	5119	1416	6	1
gene-LtaPh_2620400	BLBS01000035.1	708063	709049	+	987	114	3073	1	437	1436	2768	971	2	1
gene-LtaPh_2620500	BLBS01000035.1	711087	712001	+	915	98	3007	0	378	1374	1941	671	2	0
gene-LtaPh_2620600	BLBS01000035.1	713309	718741	+	5433	200	5977	0	921	1998	4724	1770	5	0
gene-LtaPh_2620700	BLBS01000035.1	720538	721617	+	1080	89	4042	0	494	1539	2105	726	1	0
gene-LtaPh_2620851	BLBS01000035.1	725175	732422	+	7248	438	17844	1	1724	4866	8544	4022	5	1
gene-LtaPh_2621000	BLBS01000035.1	737671	739851	+	2181	293	11020	0	1279	3417	5883	2076	3	0
gene-LtaPh_2621100	BLBS01000035.1	744519	745817	+	1299	119	3021	1	355	1267	2433	877	2	1
gene-LtaPh_2621200	BLBS01000035.1	746644	747264	+	621	41	466	0	153	165	206	253	1	0
gene-LtaPh_2621300	BLBS01000035.1	753172	753852	+	681	96	4512	0	501	1755	1987	968	2	0
gene-LtaPh_2621400	BLBS01000035.1	756493	757542	+	1050	124	4405	1	534	1750	2632	958	4	1
gene-LtaPh_2621500	BLBS01000035.1	758681	760888	+	2208	106	4004	0	392	1217	2205	818	2	0
gene-LtaPh_2621700	BLBS01000035.1	762831	765113	+	2283	148	5220	0	558	1957	4836	1002	3	0
gene-LtaPh_2621800	BLBS01000035.1	766016	767101	+	1086	167	6492	0	1029	2326	2917	1699	3	1
gene-LtaPh_2621900	BLBS01000035.1	768618	771314	+	2697	38	2268	0	178	756	1401	365	0	0
gene-LtaPh_2622000	BLBS01000035.1	773765	777079	+	3315	98	4428	0	481	1512	2889	814	0	0
gene-LtaPh_2622100	BLBS01000035.1	778514	782599	+	4086	152	4998	0	771	1904	3812	1449	5	0
gene-LtaPh_2622200	BLBS01000035.1	785921	787030	+	1110	41	1598	0	276	552	962	515	0	0
gene-LtaPh_2622300	BLBS01000035.1	788651	789205	+	555	57	1415	0	219	657	1380	426	0	0
gene-LtaPh_2622400	BLBS01000035.1	792547	795600	+	3054	89	3786	0	501	1208	2717	1015	1	1
gene-LtaPh_2622500	BLBS01000035.1	800755	806061	+	5307	106	5582	0	628	2175	3843	1177	4	0
gene-LtaPh_2622600	BLBS01000035.1	808412	820834	+	12423	444	17137	1	2095	5678	12408	3862	7	2
gene-LtaPh_2622700	BLBS01000035.1	821433	822200	+	768	45	2837	0	257	1198	1715	549	1	0
gene-LtaPh_2622800	BLBS01000035.1	823262	823603	+	342	47	1128	0	165	401	999	342	1	0
gene-LtaPh_2622900	BLBS01000035.1	824848	826548	+	1701	95	2500	0	469	806	1735	873	0	0
gene-LtaPh_2623000	BLBS01000035.1	828763	835476	+	6714	216	10725	0	1279	3033	5951	2441	3	0
gene-LtaPh_2623100	BLBS01000035.1	839046	841670	+	2625	62	4969	0	214	1314	3010	384	1	0
gene-LtaPh_2623200	BLBS01000036.1	6864	11543	+	4680	170	7305	0	774	2310	6147	1455	2	2
gene-LtaPh_2623300	BLBS01000036.1	12126	13325	+	1200	115	4579	0	555	1220	1990	1105	2	0
gene-LtaPh_2623400	BLBS01000036.1	14609	14980	+	372	52	1098	0	138	466	896	249	0	0
gene-LtaPh_2623500	BLBS01000036.1	16100	17692	+	1593	75	2901	0	323	1024	1837	549	2	0
gene-LtaPh_2623600	BLBS01000036.1	18758	21376	+	2619	36	1632	0	177	577	1382	353	0	0
gene-LtaPh_2623701	BLBS01000036.1	22142	22393	+	252	428	12179	703	1452	6928	7664	2752	1743	585
gene-LtaPh_2623800	BLBS01000036.1	23359	24738	+	1380	76	2648	0	297	1103	1396	565	1	0
gene-LtaPh_2623900	BLBS01000036.1	25546	26952	+	1407	126	3640	0	682	1163	2006	1045	4	0
gene-LtaPh_2624000	BLBS01000036.1	27961	30672	+	2712	108	4478	0	628	1155	2232	1262	3	1
gene-LtaPh_2624100	BLBS01000036.1	32403	34631	+	2229	79	3905	0	430	1433	2593	728	1	0
gene-LtaPh_2624200	BLBS01000036.1	35796	36599	+	804	43	1151	2	153	498	1151	266	7	0
gene-LtaPh_2624301	BLBS01000036.1	37591	38763	+	1173	38	806	0	271	304	423	464	0	0
gene-LtaPh_2624400	BLBS01000036.1	39276	40493	+	1218	78	1536	0	340	711	1334	624	2	0
gene-LtaPh_2624500	BLBS01000036.1	41217	44945	+	3729	101	3022	0	317	954	2920	609	0	0
gene-LtaPh_2624551	BLBS01000036.1	46172	46534	-	363	0	0	0	0	0	0	0	0	0
gene-LtaPh_2624600	BLBS01000036.1	46218	46550	+	333	82	1341	0	302	525	1312	500	2	0
gene-LtaPh_2624700	BLBS01000036.1	48444	49289	+	846	48	1209	0	155	366	1141	254	0	0
gene-LtaPh_2624771	BLBS01000036.1	53894	54298	-	405	3	42	0	4	36	48	8	1	0
gene-LtaPh_2624841	BLBS01000036.1	53906	54289	+	384	848	20070	1008	2541	12164	13381	4496	2075	769
gene-LtaPh_2624911	BLBS01000036.1	55557	55940	+	384	949	25708	951	3057	13738	15845	5568	2056	762
gene-LtaPh_2625000	BLBS01000036.1	57200	59755	+	2556	91	2385	0	307	767	1875	588	1	0
gene-LtaPh_2625100	BLBS01000036.1	60814	62862	+	2049	95	2800	0	353	928	2150	726	3	0
gene-LtaPh_2625200	BLBS01000036.1	65019	76772	+	11754	228	7915	0	1059	2941	7247	1882	0	1
gene-LtaPh_2625300	BLBS01000036.1	77923	93243	+	15321	227	13823	3	1321	4595	7651	2395	4	2
gene-LtaPh_2625400	BLBS01000036.1	95661	98417	+	2757	88	3081	0	377	1108	2531	638	0	0
gene-LtaPh_2625500	BLBS01000036.1	99019	99681	+	663	40	1380	0	169	563	774	263	0	0
gene-LtaPh_2625600	BLBS01000036.1	100368	101693	+	1326	124	3519	0	614	1289	2143	1080	0	0
gene-LtaPh_2625700	BLBS01000036.1	103276	105210	+	1935	78	3243	0	402	1141	1697	681	1	1
gene-LtaPh_2625800	BLBS01000036.1	106837	107823	+	987	78	2226	0	452	1051	1137	638	3	0
gene-LtaPh_2625900	BLBS01000036.1	109147	113034	+	3888	68	3348	0	426	1060	2546	607	1	0
gene-LtaPh_2626000	BLBS01000036.1	113671	114336	+	666	60	1494	0	255	798	1194	364	2	0
gene-LtaPh_2626100	BLBS01000036.1	115018	116349	+	1332	108	2893	0	429	1362	2068	671	1	0
gene-LtaPh_2626200	BLBS01000036.1	116738	117547	+	810	41	959	0	165	697	620	225	1	0
gene-LtaPh_2626300	BLBS01000036.1	118203	118886	+	684	90	1932	0	532	940	1706	668	3	0
gene-LtaPh_2626400	BLBS01000036.1	121392	125906	+	4515	167	8111	0	897	2931	4211	1424	1	0
gene-LtaPh_2626500	BLBS01000036.1	130487	130918	+	432	45	1135	0	159	656	806	285	0	0
gene-LtaPh_2626600	BLBS01000036.1	132115	133572	+	1458	78	3812	0	461	1562	1780	732	1	1
gene-LtaPh_2626700	BLBS01000036.1	135262	136653	+	1392	181	5195	0	601	2177	3047	1033	0	0
gene-LtaPh_2626800	BLBS01000036.1	137761	139410	+	1650	82	5504	0	484	1338	1988	774	0	0
gene-LtaPh_2626900	BLBS01000036.1	140437	142803	+	2367	62	1992	0	330	986	1177	599	0	0
gene-LtaPh_2627000	BLBS01000036.1	145371	145655	+	285	73	5150	0	345	2544	1625	478	0	0
gene-LtaPh_2627101	BLBS01000036.1	148942	150492	+	1551	47	1768	0	251	716	1241	471	2	0
gene-LtaPh_2627200	BLBS01000036.1	152716	154014	+	1299	68	1174	5	411	322	447	574	6	5
gene-LtaPh_3032100	BLBS01000036.1	155475	155930	+	456	36	1242	1	121	627	699	239	3	0
gene-LtaPh_3500300	BLBS01000036.1	160771	161082	+	312	19	410	1	50	102	241	147	0	0
gene-LtaPh_3500361	BLBS01000036.1	164907	166208	+	1302	76	1241	3	472	429	509	688	6	3
gene-LtaPh_3500421	BLBS01000036.1	167672	168127	+	456	72	2066	0	226	880	1150	424	5	0
gene-LtaPh_3500481	BLBS01000036.1	169971	172439	+	2469	89	2865	0	551	997	1786	1030	1	0
gene-LtaPh_3500541	BLBS01000036.1	172982	173293	+	312	19	343	0	52	129	242	104	0	0
gene-LtaPh_2627600	BLBS01000036.1	175366	177837	+	2472	130	4689	0	623	1658	2583	1118	0	0
gene-LtaPh_2627700	BLBS01000036.1	178816	180180	+	1365	74	1876	0	325	789	1101	565	3	0
gene-LtaPh_2627800	BLBS01000036.1	181231	182064	+	834	44	1376	0	209	474	520	383	0	0
gene-LtaPh_2627900	BLBS01000036.1	182818	183060	+	243	43	2267	0	218	809	1152	360	0	0
gene-LtaPh_2628000	BLBS01000036.1	184503	185657	+	1155	106	4390	0	480	1238	2569	908	2	0
gene-LtaPh_2628100	BLBS01000036.1	189212	190960	+	1749	121	2688	0	466	992	1777	877	0	0
gene-LtaPh_2628151	BLBS01000036.1	191661	191972	+	312	15	394	0	64	127	253	142	0	0
gene-LtaPh_2628200	BLBS01000036.1	193081	195582	+	2502	226	6282	0	795	1760	2803	1334	2	0
gene-LtaPh_2628300	BLBS01000036.1	196963	200781	+	3819	78	2757	0	492	833	1479	952	1	0
gene-LtaPh_2628400	BLBS01000036.1	205102	206235	+	1134	221	1834	0	1365	503	795	2916	9	0
gene-LtaPh_2628500	BLBS01000036.1	211171	212028	+	858	34	1619	0	167	466	551	293	1	0
gene-LtaPh_2628600	BLBS01000036.1	212457	213260	+	804	146	3107	0	644	1331	2019	1243	0	0
gene-LtaPh_2628700	BLBS01000036.1	213847	214743	+	897	22	914	0	88	258	281	190	0	0
gene-LtaPh_2628751	BLBS01000036.1	214051	214815	-	765	0	0	0	0	0	0	0	0	0
gene-LtaPh_2700100	BLBS01000037.1	5912	7444	-	1533	240	3393	0	1230	1254	1510	2193	5	0
gene-LtaPh_2700200	BLBS01000037.1	8113	11202	-	3090	146	4037	0	846	1390	2178	1350	2	0
gene-LtaPh_2700300	BLBS01000037.1	12037	13047	-	1011	96	2210	0	570	953	1165	745	2	0
gene-LtaPh_2700400	BLBS01000037.1	13738	15021	-	1284	459	11062	1	2601	3910	4305	3966	14	0
gene-LtaPh_2700500	BLBS01000037.1	15663	18029	-	2367	99	3885	0	632	1478	1754	1367	0	0
gene-LtaPh_2700600	BLBS01000037.1	19149	19409	-	261	41	659	0	224	285	452	351	0	0
gene-LtaPh_2700700	BLBS01000037.1	19796	20737	-	942	137	2547	0	595	1052	1162	1067	6	2
gene-LtaPh_2700800	BLBS01000037.1	21234	22808	-	1575	68	1105	0	380	503	608	560	0	0
gene-LtaPh_2700900	BLBS01000037.1	23522	25300	-	1779	272	6401	2	2128	2460	2632	2867	3	0
gene-LtaPh_2701000	BLBS01000037.1	26968	28947	-	1980	164	3656	1	975	1175	1881	1799	16	4
gene-LtaPh_2701100	BLBS01000037.1	29838	30095	-	258	433	8411	0	1732	3290	4296	3130	14	2
gene-LtaPh_2701200	BLBS01000037.1	31630	33534	-	1905	176	5741	0	1076	1906	2602	1860	0	0
gene-LtaPh_2701300	BLBS01000037.1	35220	36107	-	888	5364	42866	2	26479	17701	22032	56250	151	5
gene-LtaPh_2701400	BLBS01000037.1	36479	37210	-	732	99	2200	0	562	692	961	1058	1	0
gene-LtaPh_2701500	BLBS01000037.1	39096	39752	-	657	135	3049	0	637	1283	1444	980	1	0
gene-LtaPh_2701600	BLBS01000037.1	41121	42317	-	1197	161	2145	0	660	1200	1864	1315	2	1
gene-LtaPh_2701700	BLBS01000037.1	43498	44910	-	1413	114	1551	0	500	758	1521	828	0	1
gene-LtaPh_2701800	BLBS01000037.1	45758	46297	-	540	134	1739	0	594	795	1221	997	0	0
gene-LtaPh_2701900	BLBS01000037.1	47360	48076	-	717	359	4733	5	1489	1961	2913	2328	21	6
gene-LtaPh_2702000	BLBS01000037.1	48948	50285	-	1338	85	1359	0	378	534	945	693	4	0
gene-LtaPh_2702100	BLBS01000037.1	50798	51661	-	864	118	2408	0	595	864	1159	1177	2	0
gene-LtaPh_2702200	BLBS01000037.1	53320	54264	-	945	97	1261	0	455	522	955	753	2	0
gene-LtaPh_2702300	BLBS01000037.1	55099	55662	-	564	81	1185	0	320	414	753	614	3	0
gene-LtaPh_2702500	BLBS01000037.1	62206	63393	-	1188	164	2096	1	569	559	1384	1122	3	0
gene-LtaPh_2702600	BLBS01000037.1	64052	65032	-	981	170	1713	0	561	985	1610	961	2	0
gene-LtaPh_2702700	BLBS01000037.1	67223	70516	-	3294	275	3240	0	1511	921	2928	3113	1	0
gene-LtaPh_2702800	BLBS01000037.1	71361	71813	-	453	255	3566	0	1021	1435	2318	1706	1	0
gene-LtaPh_2702900	BLBS01000037.1	75421	77592	+	2172	214	3464	0	674	1102	2511	1286	1	0
gene-LtaPh_2703000	BLBS01000037.1	79595	83281	+	3687	242	3463	0	927	1158	3332	1953	2	1
gene-LtaPh_2703100	BLBS01000037.1	84809	86299	+	1491	143	2292	0	486	877	1943	1121	3	0
gene-LtaPh_2703200	BLBS01000037.1	87169	89379	+	2211	151	2622	0	685	885	1755	1553	2	0
gene-LtaPh_2703300	BLBS01000037.1	90220	91509	+	1290	102	1941	0	446	640	1386	953	3	0
gene-LtaPh_2703400	BLBS01000037.1	92821	93129	-	309	0	0	0	1	0	0	0	0	0
gene-LtaPh_2703500	BLBS01000037.1	94988	96472	+	1485	37	838	4	197	250	722	288	3	0
gene-LtaPh_2703600	BLBS01000037.1	99013	100983	+	1971	180	2221	0	665	914	2334	1429	8	0
gene-LtaPh_2703700	BLBS01000037.1	101841	102425	+	585	99	1286	0	435	469	929	818	2	0
gene-LtaPh_2703800	BLBS01000037.1	105641	108496	+	2856	315	4594	0	1392	1756	3969	2531	3	0
gene-LtaPh_2703900	BLBS01000037.1	110145	112337	+	2193	122	2900	0	697	1002	2242	1241	1	0
gene-LtaPh_2704000	BLBS01000037.1	113328	113750	+	423	116	2214	0	539	880	1424	983	2	0
gene-LtaPh_2704100	BLBS01000037.1	114965	116101	+	1137	207	2479	0	779	1309	2080	1349	3	0
gene-LtaPh_2704200	BLBS01000037.1	117403	118392	+	990	419	4357	0	1966	1603	2814	2851	15	0
gene-LtaPh_2704300	BLBS01000037.1	120364	122208	+	1845	122	3079	0	648	1000	2044	859	6	0
gene-LtaPh_2704400	BLBS01000037.1	123672	125342	+	1671	134	2388	0	704	976	2037	1138	2	0
gene-LtaPh_2704500	BLBS01000037.1	127022	128014	+	993	158	3765	1	615	1485	2762	1024	2	0
gene-LtaPh_2704600	BLBS01000037.1	128998	130902	+	1905	144	3746	0	1010	1304	2429	1406	1	0
gene-LtaPh_2704700	BLBS01000037.1	133124	135190	+	2067	122	2163	0	761	833	1536	1025	2	0
gene-LtaPh_2704800	BLBS01000037.1	139714	141513	+	1800	226	3160	0	1012	1599	2423	1603	3	0
gene-LtaPh_2704871	BLBS01000037.1	144102	151820	+	7719	159	3321	0	521	704	1433	1146	0	0
gene-LtaPh_2704941	BLBS01000037.1	155465	162169	+	6705	232	4560	0	717	987	1794	1928	5	0
gene-LtaPh_2705011	BLBS01000037.1	169439	187936	+	18498	438	6115	4	1609	1595	3872	3328	12	4
gene-LtaPh_2705081	BLBS01000037.1	199624	219792	+	20169	1004	28901	0	4974	7714	11492	10949	16	1
gene-LtaPh_2705151	BLBS01000037.1	205123	211839	-	6717	0	6	0	2	2	9	9	0	0
gene-LtaPh_2705221	BLBS01000037.1	209589	211484	-	1896	0	0	0	0	0	0	0	0	0
gene-LtaPh_2705300	BLBS01000037.1	222268	224046	+	1779	441	9469	0	2057	2505	3568	4163	15	0
gene-LtaPh_2705400	BLBS01000037.1	225363	227129	+	1767	229	3745	0	886	1709	2228	1825	4	0
gene-LtaPh_2705500	BLBS01000037.1	227980	228609	+	630	160	2294	0	823	818	1392	1286	6	0
gene-LtaPh_2705600	BLBS01000037.1	230168	231250	+	1083	246	3371	0	836	1607	2469	1440	6	0
gene-LtaPh_2705700	BLBS01000037.1	232360	233385	+	1026	243	3030	0	886	1003	2105	1650	2	0
gene-LtaPh_2705800	BLBS01000037.1	234698	236329	+	1632	209	3143	0	837	1095	2169	1714	4	0
gene-LtaPh_2705900	BLBS01000037.1	237037	239127	+	2091	191	3439	0	784	1230	2258	1497	2	0
gene-LtaPh_2706000	BLBS01000037.1	240147	241928	+	1782	224	4276	0	986	1423	2472	1717	4	0
gene-LtaPh_2706100	BLBS01000037.1	243955	246906	+	2952	211	3540	0	1071	1180	2807	1867	3	1
gene-LtaPh_2706200	BLBS01000037.1	247858	249249	+	1392	139	3955	0	634	1027	1426	1604	0	0
gene-LtaPh_2706300	BLBS01000037.1	250956	252413	+	1458	166	4574	0	977	1546	2177	1767	6	0
gene-LtaPh_2706400	BLBS01000037.1	253019	255694	+	2676	528	6486	0	1976	2395	5018	3859	6	0
gene-LtaPh_2706500	BLBS01000037.1	257170	258114	+	945	48	948	0	227	401	614	412	0	0
gene-LtaPh_2706600	BLBS01000037.1	258734	259342	+	609	607	7268	1	2180	3127	5772	3896	26	2
gene-LtaPh_2706651	BLBS01000037.1	258827	259579	-	753	2	15	0	2	5	15	5	0	0
gene-LtaPh_2706700	BLBS01000037.1	263720	265162	+	1443	22	254	0	122	88	131	246	0	0
gene-LtaPh_2706800	BLBS01000037.1	269771	271273	+	1503	255	15170	0	1202	3158	5377	2327	11	0
gene-LtaPh_2706900	BLBS01000037.1	275973	277580	+	1608	605	19908	0	3616	6665	9097	5863	10	2
gene-LtaPh_2707000	BLBS01000037.1	282680	285451	+	2772	265	5414	0	1296	1754	2444	2634	4	0
gene-LtaPh_2707100	BLBS01000037.1	290178	291557	+	1380	184	3337	0	1027	1041	2284	1784	2	0
gene-LtaPh_2707200	BLBS01000037.1	294024	295388	+	1365	227	4176	0	1156	1465	2437	2075	5	0
gene-LtaPh_2707300	BLBS01000037.1	297088	298323	+	1236	347	6682	0	1571	2588	3121	2665	5	2
gene-LtaPh_2707400	BLBS01000037.1	299929	300918	+	990	152	2497	0	570	780	1754	1059	1	1
gene-LtaPh_2707500	BLBS01000037.1	303590	304195	+	606	89	2417	0	466	672	937	858	3	0
gene-LtaPh_2707600	BLBS01000037.1	306888	307499	+	612	144	1823	0	536	676	973	967	2	0
gene-LtaPh_2707700	BLBS01000037.1	308288	308686	+	399	136	5601	0	719	2212	1509	1016	7	0
gene-LtaPh_2707800	BLBS01000037.1	310757	311359	+	603	265	6607	0	1245	2177	2882	2357	3	0
gene-LtaPh_2707900	BLBS01000037.1	314457	318473	+	4017	223	4852	0	1255	1813	3382	1991	1	0
gene-LtaPh_2708000	BLBS01000037.1	320656	321816	+	1161	85	1619	0	476	614	873	772	2	0
gene-LtaPh_2708100	BLBS01000037.1	324219	326861	+	2643	252	4043	0	1259	1383	2360	2534	2	1
gene-LtaPh_2708200	BLBS01000037.1	328328	329386	+	1059	206	3562	0	719	1509	1915	1307	4	0
gene-LtaPh_2708400	BLBS01000037.1	334008	343916	+	9909	838	17532	0	3888	6118	12208	7350	5	0
gene-LtaPh_2708500	BLBS01000037.1	344896	346557	+	1662	199	5212	0	735	1561	2437	1850	6	0
gene-LtaPh_2708600	BLBS01000037.1	347520	350108	+	2589	277	4787	0	1207	1777	2730	2114	1	0
gene-LtaPh_2708700	BLBS01000037.1	350997	352769	+	1773	216	3758	0	918	1333	2126	1680	2	0
gene-LtaPh_2708800	BLBS01000037.1	353247	356597	+	3351	357	5991	0	2126	1998	3202	3986	2	0
gene-LtaPh_2708900	BLBS01000037.1	358608	360878	+	2271	311	8846	0	1870	2715	3538	3909	5	0
gene-LtaPh_2709000	BLBS01000037.1	364287	367307	+	3021	473	12096	1	2417	4707	8461	3994	4	0
gene-LtaPh_2709100	BLBS01000037.1	369653	374761	+	5109	280	5271	1	1360	1835	3177	2164	2	0
gene-LtaPh_2709200	BLBS01000037.1	376360	376950	+	591	56	968	0	290	425	519	497	3	0
gene-LtaPh_2709300	BLBS01000037.1	378001	381243	-	3243	109	1201	0	323	501	1671	583	0	0
gene-LtaPh_2709600	BLBS01000037.1	389737	390663	-	927	100	1507	0	490	508	884	726	5	0
gene-LtaPh_2709700	BLBS01000037.1	392913	394145	-	1233	295	3806	0	1192	1557	2144	2229	1	0
gene-LtaPh_2709800	BLBS01000037.1	394974	396725	-	1752	220	3726	0	766	1456	2357	1556	5	1
gene-LtaPh_2709900	BLBS01000037.1	399954	402698	-	2745	196	5036	0	791	1739	2491	1526	1	0
gene-LtaPh_2710000	BLBS01000037.1	404049	408569	-	4521	328	5762	0	1296	1888	3504	2396	6	0
gene-LtaPh_2710041	BLBS01000037.1	413515	418827	-	5313	599	12360	0	3000	4693	6594	5378	7	0
gene-LtaPh_2710081	BLBS01000037.1	424227	429539	-	5313	470	9365	0	2393	3512	5089	4440	11	0
gene-LtaPh_2710121	BLBS01000037.1	434939	436705	-	1767	179	3167	0	851	1133	1794	1524	6	0
gene-LtaPh_2710161	BLBS01000037.1	456266	461905	-	5640	468	9220	1	2616	3360	5469	4686	3	1
gene-LtaPh_2710200	BLBS01000037.1	464448	465290	-	843	130	1816	0	695	824	1100	998	1	0
gene-LtaPh_2710300	BLBS01000037.1	466149	467288	-	1140	186	2757	0	851	1383	1646	1354	5	0
gene-LtaPh_2710400	BLBS01000037.1	468629	471430	-	2802	442	9391	1	1873	3983	4789	3077	6	0
gene-LtaPh_2710500	BLBS01000037.1	472420	473043	-	624	157	2442	9	649	1079	1607	1022	27	5
gene-LtaPh_2710600	BLBS01000037.1	474230	477220	-	2991	208	4164	0	1008	1875	2569	1608	3	0
gene-LtaPh_2710700	BLBS01000037.1	478447	479700	-	1254	222	4832	0	1285	1914	2654	2090	1	0
gene-LtaPh_2710900	BLBS01000037.1	481944	483944	-	2001	294	5782	4	1327	2440	3811	2191	23	4
gene-LtaPh_2711000	BLBS01000037.1	486092	487417	-	1326	169	3504	0	938	1395	1842	1282	2	0
gene-LtaPh_2711100	BLBS01000037.1	488924	492010	-	3087	238	5196	0	1366	2097	3135	2090	6	0
gene-LtaPh_2711200	BLBS01000037.1	494082	498821	-	4740	2183	41842	14	10082	14370	18772	10967	44	13
gene-LtaPh_2711300	BLBS01000037.1	501369	501962	-	594	509	8483	0	2935	3398	4039	4833	8	0
gene-LtaPh_2711400	BLBS01000037.1	502861	504804	-	1944	199	3912	0	891	1581	2407	1569	3	0
gene-LtaPh_2711500	BLBS01000037.1	506371	507297	+	927	1	18	0	1	2	9	5	0	0
gene-LtaPh_2711551	BLBS01000037.1	506497	507201	-	705	173	3593	0	1054	1131	1564	1650	2	0
gene-LtaPh_2711600	BLBS01000037.1	508507	509166	-	660	66	1882	0	316	740	1220	701	0	0
gene-LtaPh_2711700	BLBS01000037.1	509864	510229	-	366	24	500	0	104	194	238	177	0	0
